GeneSymbol	tstat	pval	fdr_q	direction
INPP5F	3.81259923723699	0.000842608685250217	0.0225570699670284	upreg
CA13	3.81226414341273	0.000843318663135833	0.0225570699670284	upreg
DOCK1	3.8068729235868	0.000854822584465018	0.0227537933789609	upreg
ZNF480	3.80611817074656	0.000856445376152876	0.0227537933789609	upreg
ZNF217	3.80533363821494	0.000858135412071322	0.0227537933789609	upreg
CREBL2	3.80113502793905	0.000867235994730216	0.0229286390355922	upreg
GABRQ	3.79108982987127	0.000889396523425236	0.023280186881508	upreg
GEN1	3.78929977165962	0.000893403632108673	0.0232840047039014	upreg
RBMS3	3.78221975572547	0.000909427333559768	0.023634282411901	upreg
TBC1D5	3.77970588736226	0.00091518455366568	0.0236495292599341	upreg
STK36	3.7764960839614	0.000922587740193485	0.0237736796992752	upreg
RP11-343J3.2	3.7745413395604	0.000927125052905811	0.0238049448917022	upreg
NRXN3	3.76722491645529	0.000944303454542013	0.0241293505505901	upreg
SS18	3.76330289881539	0.000953640548639808	0.0242434793523513	upreg
