,time,HRF
2107,2.107,0.13621572085339068
2108,2.108,0.13632040591772357
2109,2.109,0.13642502182706467
2110,2.11,0.1365295684416516
2111,2.111,0.1366340456219681
2112,2.112,0.13673845322875094
2113,2.113,0.13684279112298264
2114,2.114,0.13694705916591549
2115,2.115,0.13705125721905304
2116,2.116,0.13715538514408834
2117,2.117,0.13725944280306226
2118,2.118,0.13736343005819657
2119,2.119,0.13746734677197767
2120,2.12,0.13757119280713265
2121,2.121,0.13767496802668336
2122,2.122,0.13777867229383178
2123,2.123,0.13788230547210592
2124,2.124,0.13798586742523777
2125,2.125,0.13808935801722794
2126,2.126,0.13819277711231734
2127,2.1270000000000002,0.13829612457500212
2128,2.128,0.13839940027004047
2129,2.129,0.13850260406242706
2130,2.13,0.13860573581742555
2131,2.1310000000000002,0.1387087954005238
2132,2.132,0.13881178267749134
2133,2.133,0.13891469751433094
2134,2.134,0.13901753977732284
2135,2.1350000000000002,0.13912030933297545
2136,2.136,0.13922300604804597
2137,2.137,0.13932562978953572
2138,2.138,0.13942818042477878
2139,2.1390000000000002,0.1395306578212397
2140,2.14,0.13963306184672614
2141,2.141,0.1397353923692717
2142,2.142,0.1398376492571464
2143,2.1430000000000002,0.1399398323788962
2144,2.144,0.14004194160332395
2145,2.145,0.14014397679947257
2146,2.146,0.14024593783663625
2147,2.1470000000000002,0.14034782458436412
2148,2.148,0.14044963691246923
2149,2.149,0.14055137469102494
2150,2.15,0.14065303779030702
2151,2.1510000000000002,0.14075462608094633
2152,2.152,0.14085613943372108
2153,2.153,0.14095757771972442
2154,2.154,0.14105894081029552
2155,2.1550000000000002,0.14116022857702434
2156,2.156,0.14126144089174394
2157,2.157,0.1413625776265504
2158,2.158,0.1414636386538085
2159,2.1590000000000003,0.14156462384611013
2160,2.16,0.1416655330763223
2161,2.161,0.14176636621758598
2162,2.162,0.14186712314325461
2163,2.1630000000000003,0.14196780372695272
2164,2.164,0.1420684078425777
2165,2.165,0.14216893536428107
2166,2.166,0.14226938616642246
2167,2.1670000000000003,0.14236976012369223
2168,2.168,0.14247005711095798
2169,2.169,0.14257027700341718
2170,2.17,0.14267041967649718
2171,2.1710000000000003,0.14277048500584386
2172,2.172,0.14287047286739263
2173,2.173,0.1429703831373289
2174,2.174,0.14307021569213865
2175,2.1750000000000003,0.14316997040847715
2176,2.176,0.1432696471633314
2177,2.177,0.1433692458338914
2178,2.178,0.1434687662976387
2179,2.179,0.143568208432306
2180,2.18,0.14366757211587772
2181,2.181,0.1437668572265859
2182,2.182,0.1438660636429461
2183,2.183,0.1439651912437035
2184,2.184,0.14406423990785902
2185,2.185,0.14416320951469946
2186,2.186,0.14426209994374858
2187,2.187,0.14436091107479926
2188,2.188,0.14445964278786141
2189,2.189,0.14455829496328085
2190,2.19,0.1446568674815858
2191,2.191,0.14475536022358945
2192,2.192,0.144853773070391
2193,2.193,0.14495210590327856
2194,2.194,0.14505035860386373
2195,2.195,0.1451485310540084
2196,2.196,0.14524662313577227
2197,2.197,0.14534463473156814
2198,2.198,0.1454425657239824
2199,2.199,0.14554041599589568
2200,2.2,0.14563818543044144
2201,2.201,0.14573587391104087
2202,2.202,0.14583348132132679
2203,2.203,0.1459310075451987
2204,2.204,0.14602845246683524
2205,2.205,0.1461258159706744
2206,2.206,0.14622309794138974
2207,2.207,0.14632029826391685
2208,2.208,0.14641741682346468
2209,2.209,0.14651445350552028
2210,2.21,0.1466114081957824
2211,2.211,0.1467082807802176
2212,2.212,0.1468050711450888
2213,2.213,0.14690177917686081
2214,2.214,0.1469984047623228
2215,2.215,0.14709494778846188
2216,2.216,0.14719140814257659
2217,2.217,0.14728778571215836
2218,2.218,0.14738408038503503
2219,2.219,0.1474802920492509
2220,2.22,0.14757642059311046
2221,2.221,0.14767246590516706
2222,2.222,0.14776842787424743
2223,2.223,0.14786430638946307
2224,2.224,0.1479601013401359
2225,2.225,0.14805581261589132
2226,2.226,0.14815144010657139
2227,2.227,0.14824698370230552
2228,2.228,0.14834244329348253
2229,2.229,0.14843781877073212
2230,2.23,0.14853311002496108
2231,2.231,0.1486283169473478
2232,2.232,0.14872343942928792
2233,2.233,0.14881847736246773
2234,2.234,0.14891343063882476
2235,2.235,0.14900829915054342
2236,2.236,0.14910308279010667
2237,2.237,0.14919778145022133
2238,2.238,0.14929239502386973
2239,2.239,0.14938692340424856
2240,2.24,0.14948136648492544
2241,2.241,0.14957572415958098
2242,2.242,0.14966999632228054
2243,2.243,0.1497641828672801
2244,2.244,0.1498582836891066
2245,2.245,0.14995229868258128
2246,2.246,0.15004622774272322
2247,2.247,0.15014007076489005
2248,2.248,0.15023382764459584
2249,2.249,0.15032749827771416
2250,2.25,0.1504210825603305
2251,2.251,0.1505145803887791
2252,2.2520000000000002,0.1506079916596896
2253,2.253,0.1507013162699476
2254,2.254,0.1507945541166433
